Rank,Title,Score,Format,Date,Studio,Genres,Source,Rating,Recommendation
60,Charlotte,7.75,TV (13 eps),Jul 2015 - Sep 2015,P.A. Works,"['Drama', 'School', 'Super Power']",Original,PG-13 - Teens 13 or older,Angel Beats!
61,Boku no Hero Academia 4th Season,8.00,TV (25 eps),Oct 2019 - Apr 2020,Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,One Piece
62,Darling in the FranXX,7.27,TV (24 eps),Jan 2018 - Jul 2018,CloverWorks,"['Action', 'Drama', 'Romance', 'Sci-Fi', 'Mecha']",Original,PG-13 - Teens 13 or older,Neon Genesis Evangelion
63,Dr. Stone,8.31,TV (24 eps),Jul 2019 - Dec 2019,TMS Entertainment,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",Manga,PG-13 - Teens 13 or older,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
64,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.31,TV (13 eps),Oct 2018 - Dec 2018,CloverWorks,"['Comedy', 'Drama', 'Romance', 'Supernatural', 'School']",Light novel,PG-13 - Teens 13 or older,Bakemonogatari
65,Highschool of the Dead,7.10,TV (12 eps),Jul 2010 - Sep 2010,Madhouse,"['Action', 'Horror', 'Supernatural', 'Ecchi', 'Shounen']",Manga,R+ - Mild Nudity,High School DxD
66,Fate/Zero,8.31,TV (13 eps),Oct 2011 - Dec 2011,ufotable,"['Action', 'Fantasy', 'Supernatural']",Light novel,R - 17+ (violence & profanity),Mirai Nikki (TV)
67,Hataraku Maou-sama!,7.80,TV (13 eps),Apr 2013 - Jun 2013,White Fox,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Demons']",Light novel,PG-13 - Teens 13 or older,Noragami
68,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.59,TV (13 eps),Apr 2015 - Jun 2015,J.C.Staff,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",Light novel,PG-13 - Teens 13 or older,Sword Art Online
69,One Punch Man 2nd Season,7.43,TV (12 eps),Apr 2019 - Jul 2019,J.C.Staff,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural', 'Parody', 'Super Power']",Web manga,R - 17+ (violence & profanity),Boku no Hero Academia
70,Clannad,8.03,TV (23 eps),Oct 2007 - Mar 2008,Kyoto Animation,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural', 'School']",Visual novel,PG-13 - Teens 13 or older,Kanon (2006)
71,Durarara!!,8.14,TV (24 eps),Jan 2010 - Jun 2010,Brain's Base,"['Action', 'Mystery', 'Supernatural']",Light novel,R - 17+ (violence & profanity),Baccano!
72,JoJo no Kimyou na Bouken (TV),7.96,TV (26 eps),Oct 2012 - Apr 2013,David Production,"['Action', 'Adventure', 'Supernatural', 'Vampire', 'Shounen']",Manga,R - 17+ (violence & profanity),Hunter x Hunter (2011)
73,Overlord,7.93,TV (13 eps),Jul 2015 - Sep 2015,Madhouse,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Game']",Light novel,R - 17+ (violence & profanity),Tensei shitara Slime Datta Ken
